Report Number,title,abstract,link,author,outlier
No. 79:,Absent from the discussion: The other half of investment promotion,No. 79:,/sites/default/files/content/docs/publications/FDI_79.pdf,",” by Lise Johnson.",
,中文版,"Investment treaties can be tools for promoting the quantity and quality of foreign investment that furthers sustainable development. But to do so, they should move beyond their current focus on simply regulating the conduct of host states, and include appropriate home-country commitments to facilitate and encourage outward investment. ",/sites/default/files/content/docs/publications/No_79_-_Lise_Johnson_-_FINAL_-_CHINESE_verison.pdf, ,
No. 78:,Reconciling IMF rules and international investment agreements: An innovative derogation for capital controls,No. 78:,/sites/default/files/content/docs/publications/FDI_78.pdf,",” by Elizabeth L. Broomfield.",
,中文版,"In the absence of an international framework governing capital controls, a conflict has developed due to the different approaches towards such controls taken by various international organizations and international investment agreements (IIAs). IIAs should incorporate derogations for countries when treaty obligations conflict with IMF recommendations to impose controls in response to severe economic hardship. ",/sites/default/files/content/docs/publications/No_78_-_Broomfield_-_FINAL_-_CHINESE_version.pdf,,
No. 77:,A new economic nationalism? Lessons from the PotashCorp decision in Canada,No. 77:,/sites/default/files/content/docs/publications/FDI_77.pdf,",” by Sandy Walker.",
,中文版,"Foreign investors must be alert to the possibility that political sensitivities may impact foreign investment review processes, hence jeopardizing a small number of deals involving perceived national champions. One example, which underlines that politics can occasionally hijack the review of foreign investments, is the Canadian Government’s rejection of BHP Billiton’s takeover of Potash Corporation. ",/sites/default/files/content/docs/publications/No_77_-_Walker_-_FINAL_-_CHINESE_version.pdf,,
No. 76:,A good business reason to support mandatory transparency in extractive industries,No. 76:,/sites/default/files/content/docs/publications/FDI_76_0.pdf,",” by Perrine Toledano and Julien Topal.",
,中文版,"The Cardin-Lugar Transparency Amendment is a promising step toward ending the resource curse by improving accountability and access to information for both citizens and investors. The Amendment has run into heavy corporate opposition, and its implementation has been much delayed. However, there is a business case for mandatory transparency requirements. ",/sites/default/files/content/docs/publications/No76Chinese.pdf,,
No. 75:,Attracting FDI through BITs and RTAs: Does treaty content matter?,No. 75:,/sites/default/files/content/docs/publications/FDI_75.pdf,",” by Axel Berger, Matthias Busse, Peter Nunnenkamp, and Martin Roy.",
,中文版,"The authors analyze empirically whether the impact of BITs and RTAs on bilateral FDI flows depends on the inclusion of two legal innovations: investor-state dispute settlement (ISDS) and pre-establishment national treatment (NT) provisions. Indeed, they find strong evidence that liberal NT provisions promote FDI. ISDS mechanisms appear to play a minor role. Surprisingly, the impact of similar investment provisions on FDI depends on whether these provisions are contained in RTAs or BITs. ",/sites/default/files/content/docs/publications/FDI_No75_Chinese.pdf,,
No. 74:,Starting anew in international investment law,No. 74:,/sites/default/files/content/docs/publications/FDI_74.pdf,",” by M Sornarajah.",
,中文版,There is a crisis in international investment law brought about by rapid changes in the economic order resulting in movements of capital from erstwhile developing countries like China and India into developed ones. This is accentuated by the stances taken in investment treaty arbitration that restrict regulatory control. The reaction has been to bring about so called “balanced treaties” that neither secure investment protection nor bring about clear rules on regulatory control. There is a need for a new beginning. ,/sites/default/files/content/docs/publications/FDI_No74_Chinese.pdf,,
No. 73:,Law at two speeds: Legal frameworks regulating foreign investment in the global South,No. 73:,/sites/default/files/content/docs/publications/FDI_73.pdf,",” by Lorenzo Cotula.",
,中文版,"The global legal system regulating foreign investment in lower-income countries is more geared towards enabling secure transnational investment flows than it is towards ensuring that these flows benefit people in recipient countries. There is a need to improve national and international law safeguards for rights that may be affected by investment flows, and to strengthen local capacity to exercise those rights and get a better deal from incoming investment. ",/sites/default/files/content/docs/publications/FDI_No73_Chinese.pdf,,
No. 72:,Roll out the red carpet and they will come: Investment promotion and FDI inflows,No. 72:,/sites/default/files/content/docs/publications/FDI_72.pdf,",” by Torfinn Harding and Beata Javorcik.",
,中文版,Foreign direct investment flows to developing countries are hindered by many factors. Two of these factors — the mere lack of information and red tape — could be easily remedied through investment promotion efforts. ,/sites/default/files/content/docs/publications/FDI_No72_Chinese.pdf,,
No. 71:,Much ado about nothing? State-controlled entities and the change in German investment law,No. 71:,/sites/default/files/content/docs/publications/FDI_71.pdf,",” by Thomas Jost.",
,中文版,"Despite a tightening of German foreign investment law in 2009 in reaction to the growing importance of state controlled entities and national security concerns, Germany has remained open for FDI. So far German authorities have handled the new law carefully. But, was the change necessary? ",/sites/default/files/content/docs/publications/FDI_No71_Chinese.pdf,,
No. 70:,"FDI, catch-up growth stages and stage-focused strategies",No. 70:,/sites/default/files/content/docs/publications/FDI_70.pdf,",” by Terutomo Ozawa.",
,中文版,"For the initial stage of catch-up growth, the “FDI-led takeoff” is an expedient alternative to the traditional infant-industry protection approach. Higher stages call for more nuanced, national-interests-dictated strategies to enhance domestic knowledge capability. A stages perspective cannot be overemphasized. ",/sites/default/files/content/docs/publications/FDI_No70_Chinese.pdf,,
No. 69:,"The times they are a-changin’ — again — in the relationships between governments and multinational enterprises: From control, to liberalization to rebalancing",No. 69:,/sites/default/files/content/docs/publications/FDI_69.pdf,",” by Karl P. Sauvant.",
,中文版,"After a long period during which governments made the national and international frameworks for foreign investors more welcoming, a number of indicators suggest that a rebalancing is taking place toward an approach that is more protective of sovereigns, allowing governments more policy space to regulate FDI in the public interest. ",/sites/default/files/content/docs/publications/FDI_No69_Chinese.pdf,,
No. 68:,Economic patriotism: Dealing with Chinese direct investment in the United States,No. 68:,/sites/default/files/content/docs/publications/FDI_68.pdf,",” by Sophie Meunier et al..",
,中文版,"As Chinese FDI in the United States increases, a few investments are likely to attract negative attention. However, even though hosting Chinese FDI in the United States is not free from risk, the benefits outweigh the costs. As such, the United States should implement policy recommendations to welcome Chinese FDI, while dealing with its potential risks to limit a possible political backlash. ",/sites/default/files/content/docs/publications/FDI_No68_Chinese.pdf,,
No. 67:,The Arab Spring: How soon will foreign investors return?,No. 67:,/sites/default/files/content/docs/publications/FDI_67.pdf,",” by Paul Antony Barbour, Persephone Economou, Nathan M. Jensen, and Daniel Villar.",
,中文版,The Arab Spring dramatically increased investors’ perceptions of political risk in MENA. An examination of these perceptions indicates long-run optimism that political transitions in the region — if democratic and coupled with political stability — could increase FDI and contribute to MENA’s economic development. ,/sites/default/files/content/docs/publications/FDI_No67_Chinese.pdf,,
No. 66:,Does it matter who invests in your country?,No. 66:,/sites/default/files/content/docs/publications/FDI_66.pdf,",” by Kalman Kalotay.",
,中文版,“Indirect” FDI – investment in which immediate investors differ from ultimate owners – plays an increasingly important role in corporate strategies and financial management. This ,/sites/default/files/content/docs/publications/FDI_No66_Chinese.pdf," analyses its different forms, explores its implications for development and suggests ways to minimize the potential negative impact of such investment. ",
No. 65:,The standing of state-controlled entities under the ICSID Convention: Two key considerations,No. 65:,/sites/default/files/content/docs/publications/FDI_65.pdf,",” by Mark Feldman.",
,中文版,"ICSID tribunals likely will need to address with greater frequency the fundamental issue of whether disputes arising from SCE investments fall within the scope of the ICSID Convention. To help preserve clear ICSID Convention boundaries — which exclude public foreign investment disputes between states — ICSID tribunals should consider not only the nature, but also the purpose, of SCE investments. ",/sites/default/files/content/docs/publications/FDI_No65_Chinese_0.pdf,,
No. 64:,State-controlled entities control nearly US$ 2 trillion in foreign assets,No. 64:,/sites/default/files/content/docs/publications/FDI_64.pdf,",” by Karl P. Sauvant and Jonathan Strauss.",
,中文版,"State-controlled entities (SCEs) — especially state-owned enterprises (SOEs) — are important players in the world FDI market. Among the 100 largest MNEs from developed countries and the 100 largest from emerging markets, at least 49 are SOEs. They control nearly US$ 2 trillion in foreign assets, the bulk of them by MNEs headquartered in developed countries. Care needs to be exercised that regulatory initiatives regarding SCEs do not lead to a fragmentation of the international investment law regime. ",/sites/default/files/content/docs/publications/FDI_No64_Chinese.pdf,,
No. 63:,Is Chinese FDI pushing Latin America into natural resources?,No. 63:,/sites/default/files/content/docs/publications/FDI_63.pdf,",” by Miguel Pérez Ludeña.",
,中文版,"Chinese direct investments in Latin America reached US$15 billion in 2010, 90% of which was in the extractive industries. An analysis of the figures shows that it is mainly through trade, rather than through FDI that China is influencing South America’s productive structure. Moreover, there is potential for Chinese FDI to diversify into other sectors, especially in infrastructure construction and manufacturing for the Brazilian market. ",/sites/default/files/content/docs/publications/FDI_No63_Chinese.pdf,,
No. 62:,The unbalanced dragon: China’s uneven provincial and regional FDI performance,No. 62:,/sites/default/files/content/docs/publications/FDI_62.pdf,",” by Karl P. Sauvant, Chen Zhao and Xiaoying Huo.",
,中文版,This ,/sites/default/files/content/docs/publications/FDI_No62_Chinese.pdf," ranks all Chinese provinces in terms of their performance in attracting foreign direct investment, examines the reasons for the high unevenness of this performance and makes some policy suggestions on how to deal with it. ",
No. 61:,"Different investment treaties, different effects",No. 61:,/sites/default/files/content/docs/publications/FDI_61.pdf,",” by Clint Peinhardt and Todd Allee.",
,中文版,"Until recently, quantitative assessments of International Investment Agreements (IIAs) have tended to treat them as interchangeable. Such assessments assume that the only measure of investor protections encoded in IIAs is whether a treaty had been signed and/or entered into force. However, the actual investment effects of investment treaties depend greatly on context. ",/sites/default/files/content/docs/publications/FDI_No61_Chinese.pdf,,
No. 60:,National companies or foreign affiliates: Whose contribution to growth is greater?,No. 60:,/sites/default/files/content/docs/publications/FDI_60.pdf,",” by Alice H. Amsden.",
,中文版,"National firms fulfill functions that foreign affiliates are less likely to undertake. For this reason, there is a growth/efficiency justification for government programs designed to support and promote national companies (public and private) as opposed to, and in competition with, opening the doors to MNEs. ",/sites/default/files/content/docs/publications/FDI_No60_Chinese.pdf,,
No. 59:,The (lack of) women arbitrators in investment treaty arbitration,No. 59:,/sites/default/files/content/docs/publications/FDI_59.pdf,",” by Gus Van Harten.",
,中文版,Investment treaty arbitration appears to be a boy’s club. Just 4% of individuals appointed as arbitrators in known cases to May 2010 were women. This casts doubt on the system’s ad hoc and partly-privatized appointments process. A roster-based model would enable a more deliberative and merit-based process of appointments and ensure public accountability and independence in the system. ,/sites/default/files/content/docs/publications/FDI_No59_Chinese.pdf,,
No. 58:,The public law challenge: Killing or rethinking international investment law?,No. 58:,/sites/default/files/content/docs/publications/FDI_58.pdf,",” by Stephan W. Schill.",
,中文版,"The current legitimacy crisis of international investment law results primarily from the friction investor-state arbitration creates with domestic public law values. As a response, arbitrators should enculturate public law thinking. They should draw on comparative public law when applying investment treaties and reconsider their role as public law adjudicators with concomitant responsibilities for the entire system of international investment protection. ",/sites/default/files/content/docs/publications/FDI_No58_Chinese.pdf,,
No. 57:,Nation states and nationality of MNEs,No. 57:,/sites/default/files/content/docs/publications/FDI_57.pdf,",” by Seev Hirsch.",
,גרסה עברית ,Do nation states have an economic interest in becoming home countries to MNEs? This ,/sites/default/files/content/docs/publications/FDI_No57_Hebrew.pdf," tentative answer to the questions is “yes.” Other things being equal, extension of global reach, achieved through outgoing foreign direct investment by home country enterprises, is likely to more than make up for the tax losses and diminution of sovereignty these countries may experience. ",
No. 56:,Towards the successful implementation of the updated OECD Guidelines for Multinational Enterprises,No. 56:,/sites/default/files/content/docs/publications/FDI_56.pdf,",” by Tadahiro Asami.",
,中文版,"Manfred Schekulin and John Evans have each written Perspectives discussing the 2011 update to the OECD’s Guidelines for Multinational Enterprises. The Guidelines have several potential impacts, including impacts on MNEs’ interactions with their supply chains. Further, to be successful, it is important that the Guidelines are incorporated into MNEs’ codes of conduct. It is also essential for emerging markets to adhere to the Guidelines. ",/sites/default/files/content/docs/publications/FDI_No56_Chinese.pdf,,
No. 55:,FDI stocks are a biased measure of MNE affiliate activity: A response,No. 55:,/sites/default/files/content/docs/publications/FDI_55.pdf,",” by Mira Wilkins.",
,中文版,The term FDI is often used loosely. This ,/sites/default/files/content/docs/publications/FDI_No55_Chinese.pdf," explains the historical genesis of that loose use and the relationship between FDI and MNEs. FDI stock is one of many measures of MNE activities, but has advantage over the others, since we have long, albeit imperfect, series on FDI stock. Handled with care, along with a keen recognition of the data limitations, FDI continues to serve as one excellent indicator of MNE activities. ",
No. 54:,Investment incentives and the global competition for capital,No. 54:,/sites/default/files/content/docs/publications/FDI_54.pdf,",” by Kenneth P. Thomas.",
,中文版,"Investment incentives (subsidies designed to affect the location of investment) are a pervasive feature of global competition for foreign direct investment. This Perspective analyzes what is known about the extent and cost of incentives used as well as the potential efficiency, equity, and environmental consequences of using incentives. Finally, it analyzes methods of controlling incentives, the most successful of which is embodied in European Union regional aid policy. ",/sites/default/files/content/docs/publications/FDI_No54_Chinese.pdf,,
No. 53:,"Knowledge, FDI and catching-up strategies",No. 53:,/sites/default/files/content/docs/publications/FDI_53.pdf,",” by Francisco Sercovich.",
,中文版,"There are policies that drive catching-up industrialization other than, but related to, those focused on FDI inflows. The shortening of catching-up periods owes much to the increasing effectiveness of policies addressing education and training, entrepreneurship development and domestic innovation and technology diffusion. FDI inflows work best when those policies are in place. Domestic absorption and innovative capability development policies are also essential. ",/sites/default/files/content/docs/publications/FDI_No53_Chinese.pdf,,
No. 52:,FDI in retailing and inflation: The case of India,No. 52:,/sites/default/files/content/docs/publications/FDI_52.pdf,",” by Nandita Dasgupta.",
,中文版,"India’s food price inflation is a major driving factor behind the country’s overall accelerating inflation. As demonstrated by experiences of other countries, the recent move of the Indian Government to allow FDI in multi-brand retailing is a step in the right direction, transforming the way perishable agricultural produce is acquired, stored, preserved, and marketed — and thus helping to control India’s persistent food inflation. ",/sites/default/files/content/docs/publications/FDI_No52_Chinese.pdf,,
No. 51:,Greek FDI in the Balkans: How is it affected by the crisis in Greece?,No. 51:,/sites/default/files/content/docs/publications/FDI_51.pdf,",” by Persephone Economou and Margo Thomas.",
,中文版,"Greece accounts for only 6% of the Balkan countries’ combined inward FDI stock, but Greek banking presence in the Balkans is significant. The sovereign debt crisis and recession in Greece are having a negative effect on Greek FDI into the Balkans, but it is the reduced lending by Greek bank foreign affiliates or their possible withdrawal that will have a bigger impact on the local economies. ",/sites/default/files/content/docs/publications/FDI_No51_Chinese.pdf,,
No. 50:,Responsible business conduct: Re-shaping global business,No. 50:,/sites/default/files/content/docs/publications/FDI_50.pdf,",” by John Evans.",
,中文版,The Guidelines for Multinational Enterprises of the Organisation for Economic Co-operation and Development (OECD) were updated in 2011. Trade unions are calling on the OECD and the 42 adhering governments to ensure that the new Guidelines help close the global governance gaps that leave millions of workers around the world facing hardship and insecurity and denied access to their fundamental rights. ,/sites/default/files/content/docs/publications/FDI_No50_Chinese.pdf,,
No. 49:,Chinese FDI in the United States is taking off: How to maximize its benefits?,No. 49:,/sites/default/files/content/docs/publications/FDI_49.pdf,",” by Thilo Hanemann and Daniel H. Rosen.",
,中文版,"China’s outward foreign direct investment (OFDI) grew rapidly in the past decade, but flows to developed economies have been limited. Now China’s direct investment flows to the United States are poised to rise substantially. This new trend offers tremendous opportunities for the U. S., provided policymakers take steps to keep the investment environment open and utilize China’s new interest productively. ",/sites/default/files/content/docs/publications/FDI_No49_Chinese.pdf,,
No. 48:,The new Dutch sandwich: The issue of treaty abuse,No. 48:,/sites/default/files/content/docs/publications/FDI_48.pdf," ,” by George Kahale, III.",
,中文版,"Years ago, international tax lawyers introduced us to the term “Dutch sandwich.” The concept was to sandwich a Dutch company between an investor from country A and its investment in country B. The combination of the extensive network of Dutch tax treaties and investor-friendly domestic Dutch tax law meant that country A’s investor could reduce withholding tax on dividends out of country B and perhaps eliminate capital gains tax altogether by structuring its investment through a Dutch company. ",/sites/default/files/content/docs/publications/FDI_48_0.pdf,,
No. 47:,Shaping global business conduct: The 2011 update of the OECD Guidelines for Multinational Enterprises,No. 47:,/sites/default/files/content/docs/publications/FDI_47.pdf,",” by Manfred Schekulin.",
,中文版,"On May 25, 2011, US Secretary of State Hillary Clinton joined ministers from members of the Organisation of Economic Co-operation and Development (OECD) and developing economies to celebrate the Organisation’s 50th anniversary and agree on an update of the OECD Guidelines for Multinational Enterprises, the fifth revision since their adoption in 1976. This marked the culmination of an intense one-year negotiating process involving a large number of stakeholders, international organizations and emerging economies. ",/sites/default/files/content/docs/publications/FDI_No47_Chinese.pdf,,
No. 46:,Beyond treasuries: A foreign direct investment program for U.S. infrastructure,No. 46:,/sites/default/files/content/docs/publications/FDI_46.pdf," ,” by Geraldine McAllister and Joel H. Moser.",
,中文版,"In his jobs address to a joint session of Congress, President Obama returned to a familiar theme: a call for nontraditional infrastructure investment as a generator of economic growth and, ultimately, jobs. There is no assurance that domestic private capital investment alone is sufficient to reverse the degradation of the nation’s infrastructure and as host to the largest flows of inward foreign direct investment (FDI), it is time that the United States employs this critical source of capital in tackling the nation’s infrastructure deficit. ",/sites/default/files/content/docs/publications/FDI_No46_Chinese.pdf,,
No. 45:,FDI stocks are a biased measure of foreign affiliate activity,No. 45:,/sites/default/files/content/docs/publications/FDI_45.pdf,",” by Sjoerd Beugelsdijk, Jean-François Hennart, Arjen Slangen, and Roger Smeets.",
,中文版,"Researchers often call the value added (VA) in a host country by firms based in another country foreign direct investment (FDI) and use FDI stocks and flows from a country’s balance of payments to measure it. Because FDI stocks and flows only measure the financial flows between parents and their foreign affiliates, excluding locally raised funds, and because they omit the contribution of local labor to affiliate VA, they systematically underestimate that VA in more developed countries and thus are a biased measure of multinational activity. ",/sites/default/files/content/docs/publications/FDI_No45_Chinese.pdf,,
No. 44:,"Environmental concerns in international investment agreements: The ‘new era’ has commenced, but harmonization remains far off",No. 44:,/sites/default/files/content/docs/publications/FDI_44.pdf,",” by Kathryn Gordon and Joachim Pohl.",
,中文版,The authors present findings of a large-sample survey of references to environmental concerns in international investment agreements carried out by the OECD. ,/sites/default/files/content/docs/publications/FDI_No44_Chinese.pdf,,
No. 43:,The world economic crisis as a changed circumstance,No. 43:,/sites/default/files/content/docs/publications/FDI_43.pdf,",” by Hermann Ferré and Kabir Duggal.",
,中文版,"In September 2008, the bankruptcy of Lehman Brothers sent financial markets in the United States into a spin. Credit markets froze as banks began to mistrust counterparties, not knowing the extent of toxic assets in loan portfolios that could lead to another major bank collapse. The crisis quickly spread around the world. Governments were urged to take drastic measures. Experts discussed the possible nationalization of portions of the U.S. banking industry and other sectors. Other countries also considered measures to save key industries. ",/sites/default/files/content/docs/publications/FDI_No43_Chinese.pdf,,
No. 42:,From the FDI Triad to multiple FDI poles?,No. 42:,/sites/default/files/content/docs/publications/FDI_42.pdf,",” by Persephone Economou and Karl P. Sauvant.",
,中文版,"Twenty years ago, in the inaugural issue of the World Investment Report, the United Nations highlighted a shift in the global pattern of foreign direct investment (FDI) from bipolar, dominated by the United States and the European Community, to tri-polar (the FDI Triad), dominated by the European Community, the United States and Japan. ",/sites/default/files/content/docs/publications/FDI_No42_Chinese.pdf,,
No. 41:,Emerging challengers in knowledge-based industries? The case of Indian pharmaceutical multinationals,No. 41:,/sites/default/files/content/docs/publications/FDI_41.pdf,",” by Gert Bruche.",
,中文版,"The growth of outward foreign direct investment (FDI) from developing countries and of a new generation of “emerging multinational enterprises” (EMNEs) has stimulated a flurry of publications. EMNEs have been portrayed as on their way to adulthood, latecomers that leapfrog into advanced positions, emerging giants, and challengers of conventional multinational enterprises (MNEs) from advanced economies. ",/sites/default/files/content/docs/publications/FDI_No41_Chinese.pdf,,
No. 40:,Why and how least developed countries can receive more FDI to meet their development goals,No. 40:,/sites/default/files/content/docs/publications/FDI_40.pdf,",” by Ken Davies.",
,中文版,"The 48 least-developed countries (LDCs), most of them in sub-Saharan Africa and a few in Asia, need foreign direct investment (FDI) to help meet their development targets. The FDI they now receive, although inadequate, is enough to demonstrate that investors see potential in them. It is therefore realistic for LDCs to seek more FDI, but they need to enhance their investment environments to attract it in the much greater quantities required. Donors can help by targeting official development assistance (ODA) on investment in human capital and supporting governance improvements. Meanwhile, LDCs should establish effective investment promotion agencies (IPAs). ",/sites/default/files/content/docs/publications/FDI_No40_Chinese.pdf,,
No. 39:,The role of multinationals in sparking industrialization: From ‘infant industry protection’ to ‘FDI-led industrial take-off’,No. 39:,/sites/default/files/content/docs/publications/FDI_39.pdf,",” by Terutomo Ozawa.",
,中文版,"Economic development has recently been time-compressed due to an ever-accelerating cross-border dissemination of industrial knowledge, especially at the hands of MNEs. And a new “open-door” strategy of industrial catch-up has come to be adopted, as best exemplified by China’s FDI-led take-off, a strategy that is designed to capitalize on the profit-seeking activities of multinationals. This new approach needs to be conceptualized as such, replacing the time-honored conventional “closed-economy” doctrine of infant-industry protection (or import substitution). ",/sites/default/files/content/docs/publications/FDI_No39_Chinese.pdf,,
No. 38:,Responsible agricultural investment: is there a significant role for the law to promote sustainability?,No. 38:,/sites/default/files/content/docs/publications/FDI_38.pdf," ,” by Nicolás Marcelo Perrone.",
,中文版,"Today, the world food situation remains delicate. International investment and MNE involvement could be part of the solution to this problem. However, there are many concerns regarding the effects of these activities in host countries. An adequate interpretation of the Principles for Responsible Agricultural Investment could serve to promote sustainable foreign investment in agriculture. ",/sites/default/files/content/docs/publications/FDI_No38_Chinese.pdf,,
No. 37:,The coming harmonization of climate change policy and international investment law,No. 37:,/sites/default/files/content/docs/publications/FDI_37.pdf,",” by Daniel M. Firger.",
,中文版,"The author examines recent trends in international climate finance and foreign direct investment to identify connections, and potential areas of harmonization, between the two regimes. On the one hand, international climate policy is emphasizing the growing role of private sector investment in clean energy and sustainable development. On the other hand, international investment law is changing to take account of social and environmental goals, including climate mitigation. ",/sites/default/files/content/docs/publications/FDI_No37_Chinese.pdf,,
No. 36:,Are resurging state-owned enterprises impeding competition overseas?,No. 36:,/sites/default/files/content/docs/publications/FDI_36.pdf,",” by Nilgün Gökgür.",
,中文版,"There are no up-to-date systematic data on the size, composition, ownership structure, and economic weight of state-owned enterprises (SOEs), so we are unable to assess the impact of SOE performance on stakeholders in domestic and overseas markets. Yet there is sufficient evidence of their expansion, especially following the 2008 financial crisis. Emerging markets, led by China, are now increasingly encouraging their SOEs to expand globally as multinational enterprises (MNEs). ",/sites/default/files/content/docs/publications/FDI_No36_Chinese.pdf,,
No. 35:,Is the party-appointed arbitrator a ‘pernicious institution’? A reply to Professor Hans Smit,No. 35:,/sites/default/files/content/docs/publications/FDI_35.pdf,",” by Giorgio Sacerdoti.",
,中文版,"Prof. Smit has expressed the view that eliminating party-appointed arbitrators would be beneficial for the integrity of the dispute settlement mechanism, especially in the investment field, because it would avoid any doubt of partiality and complacency. The author argues that these concerns can be met by the application of conflict-of-interest rules, obligations to disclose and oversight by arbitral institutions while retaining the appointment of arbitrators by parties as an essential valuable feature of arbitration as opposed to adjudication. ",/sites/default/files/content/docs/publications/FDI_No35_Chinese.pdf,,
No. 34:,The backstory of China and India’s growing investment and trade with Africa: Separating the wheat from the chaff,No. 34:,/sites/default/files/content/docs/publications/FDI_34.pdf,",” by Harry G. Broadman.",
,中文版,"Common misconceptions about China’s and India’s increasing FDI in Africa have arisen because of a lack of systematic evidence-based analysis. Empirically-derived data, including on comparator countries, need to be rigorously analysed within an objective and coherent framework so that policy conclusions can be drawn which will benefit the many stakeholders involved. ",/sites/default/files/content/docs/publications/FDI_No34_Chinese.pdf,,
No. 33:,The pernicious institution of the party-appointed arbitrator,No. 33:,/sites/default/files/content/docs/publications/FDI_33.pdf,",” by Hans Smit.",
,中文版,"As arbitration has grown by leaps and bounds, so has the role of the party-appointed arbitrator. Surprisingly, this has not led to increased inquiry into the appropriateness of having arbitrators appointed by the parties in general, or in arbitrations against states in particular. ",/sites/default/files/content/docs/publications/FDI_No33_Chinese.pdf,,
No. 32:,State-controlled entities as claimants in international investment arbitration: an early assessment,No. 32:,/sites/default/files/content/docs/publications/FDI_32.pdf,",” by Michael D. Nolan & Frédéric G. Sourgens.",
,中文版,"State-controlled entities, including state-owned enterprises and sovereign wealth funds, are increasingly important participants in international investment flows and international trade. As claimants in contractual arbitrations, they may face some unique issues, since it is not always clear whether such disputes may be considered “commercial”. Until the status of such claims has been resolved, each case has to be examined on its merits. ",/sites/default/files/content/docs/publications/FDI_No32_Chinese.pdf,,
No. 31:,How much do U.S. corporations know (and care) about bilateral investment treaties? Some hints from new survey evidence,No. 31:,/sites/default/files/content/docs/publications/FDI_31.pdf,",” by Jason Webb Yackee.",
,中文版,"New evidence shows that top U.S. corporations are surprisingly unfamiliar with — and/or lack confidence in — bilateral investment treaties that are designed to benefit their investments in other countries. To understand whether or not such treaties “work”, it is necessary to find out how and why they do, or do not, form part of firms’ investment decision-making. ",/sites/default/files/content/docs/publications/FDI_No31_Chinese.pdf,,
No. 30:,What will an appreciation of China’s currency do to inward and outward FDI?,No. 30:,/sites/default/files/content/docs/publications/FDI_30.pdf,",” by Karl P. Sauvant and Ken Davies.",
,中文版,"A revaluation of the Chinese yuan would affect the country’s inward and outward FDI, not just its exports and imports. The impact on FDI inflows to China would be both positive and negative. On the other hand, revaluation is likely to provide a strong boost to overseas investments by China’s multinationals, which have been rising rapidly in recent years. Suspicions that China’s outward FDI is politically motivated are not so far borne out by systematic evidence. The rest of the world should learn how to benefit from this investment, not try to raise protectionist barriers against it. ",/sites/default/files/content/docs/publications/FDI_No30_Chinese.pdf,,
No. 29:,Mining for facts: PacRim Cayman LLC v. El Salvador,No. 29:,/sites/default/files/content/docs/publications/FDI_29.pdf,",” by Alexandre de Gramont.",
,中文版,Responds to ,/sites/default/files/content/docs/publications/FDI_No29_Chinese.pdf," No. 23 by Gus Van Harten by briefly presenting Pacific Rim’s case in Pacific Rim v. El Salvador and defends the international arbitration process by which this case is being adjudicated as fair, neutral and objective for both parties. ",
No. 28:,"Will China relocate its labor-intensive factories to Africa, flying-geese style?",No. 28:,/sites/default/files/content/docs/publications/FDI_28.pdf,",” by Terutomo Ozawa and Christian Bellak.",
,中文版,"The authors explore the China-side determinants of China’s industrial relocation to sub-Saharan Africa, highlighting several hurdles to substantial translocation that would jump start local economic development. ",/sites/default/files/content/docs/publications/FDI_No28_Chinese.pdf,,
No. 27:,Political risk insurance and bilateral investment treaties: a view from below,No. 27:,/sites/default/files/content/docs/publications/FDI_27.pdf,",” by Lauge Skovgaard Poulsen.",
,中文版,"The author reviews evidence from a survey of political risk insurance providers on the consideration of bilateral investment treaties when assessing the risk of investment projects. He finds that, while BITs are basically aimed at reducing the risk of investing abroad, many agencies that price the risk of foreign investments rarely take them into account. ",/sites/default/files/content/docs/publications/FDI_No27_Chinese.pdf,,
No. 26:,FDI incentives pay—politically,No. 26:,/sites/default/files/content/docs/publications/FDI_26.pdf,",” by Nathan M. Jensen and Edmund J. Malesky.",
,中文版,"The authors find that there are strong political benefits to attracting FDI at the state-level in the United States, and that fiscal incentives for attracting such investment, regardless of their effectiveness, may be a strategic political tool for state politicians. ",/sites/default/files/content/docs/publications/FDI_No26_Chinese.pdf,,
No. 25:,The response to the global crisis and investment protection: evidence,No. 25:,/sites/default/files/content/docs/publications/FDI_25.pdf,",” by Kathryn Gordon and Joachim Pohl.",
,中文版,"The authors, presenting findings of the OECD, challenge the claim that investment policy measures taken during the crisis were driven by a protectionist agenda but caution that crisis response and exit policies pose a potential threat to investment openness. ",/sites/default/files/content/docs/publications/FDI_No25_Chinese.pdf,,
No. 24:,Foreign direct investment and U.S. national security: CFIUS under the Obama Administration,No. 24:,/sites/default/files/content/docs/publications/FDI_24.pdf,",” by Mark E. Plotkin and David N. Fagan.",
,中文版,The Committee on Foreign Investment in the United States review process slowed during the inaugural year of the Obama Administration. The authors examine the origins of this shift and suggest actions that parties can take to facilitate the process. ,/sites/default/files/content/docs/publications/FDI_No24_Chinese.pdf,,
No. 23:,Thinking twice about a gold rush: Pacific Rim v El Salvador,No. 23:,/sites/default/files/content/docs/publications/FDI_23.pdf,",” by Gus Van Harten.",
,中文版,"Drawing on the case brought against El Salvador by Pacific Rim, the author examines the tension in international investment law between encouraging stability and allowing adaptation to new circumstances and raises a number of resulting concerns about the international arbitration process. ",/sites/default/files/content/docs/publications/FDI_No23_Chinese.pdf,,
No. 22:,How BRIC MNEs deal with international political risk,No. 22:,/sites/default/files/content/docs/publications/FDI_22.pdf," ,” by Premila Nazareth Satyanand.",
